# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,method,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0,mean_final_overlap_mm3,sim_n_success,sim_baseline_mean_LD,sim_final_mean_LD,sim_mean_dLD,sim_median_dLD,sim_mean_dCD0,sim_mean_dCD,sim_final_vlm_ok_rate,n_starts,benchmark_id,run_id
d,eng_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.1,,91,2,100,91,0.26069584342997365,0.539574049113714,5.0,32884.20771377812,80,11.127415634420817,14.754667306243121,3.6272516718223096,0.1350235144629881,-0.0006947228646402733,0.0049289061435707675,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__one_shot_gradient_line_search__eng_log_huber_100k
d,eng_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.01,,92,1,100,92,0.3438130955766871,0.7152480949311829,5.0,32884.12047817848,80,11.127415634420817,14.754667306243121,3.6272516718223096,0.1350235144629881,-0.0006947228646402733,0.0049289061435707675,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__one_shot_gradient_line_search__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,1.0,,91,7,100,91,0.3611368324940858,0.8069785830457119,5.428571428571429,33299.32586463916,91,468.3948300101448,14.935887615886568,-453.4589423942581,0.3107824502526437,-0.0010895301176550615,-616.0480990280972,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_gradient__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.5,,94,4,100,94,0.3585438450148232,0.802185139934208,5.468085106382978,33404.80893058263,91,468.3948300101448,14.935887615886568,-453.4589423942581,0.3107824502526437,-0.0010895301176550615,-616.0480990280972,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_gradient__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.1,,97,1,100,97,0.3720603043917198,0.8437112309640334,5.65979381443299,33199.44168185036,91,468.3948300101448,14.935887615886568,-453.4589423942581,0.3107824502526437,-0.0010895301176550615,-616.0480990280972,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_gradient__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_gradient,Receding-horizon multistep gradient,reg,0.01,,98,0,100,98,0.3939809680860573,0.9310788910690145,6.142857142857143,33199.35444625072,91,468.3948300101448,14.935887615886568,-453.4589423942581,0.3107824502526437,-0.0010895301176550615,-616.0480990280972,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_gradient__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_penalty,Receding-horizon multistep (distance-penalized),reg,1.0,,91,7,100,91,0.32601809924072583,0.7456368551054375,6.1208791208791204,33299.33294320205,91,468.3948300101448,14.79190605422449,-453.6029239559201,0.26165579924482074,-0.0009162253744518878,-616.0471622668948,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_penalty__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_penalty,Receding-horizon multistep (distance-penalized),reg,0.5,,94,4,100,94,0.32366447517525637,0.7425321858616216,6.202127659574468,33404.816009145514,91,468.3948300101448,14.79190605422449,-453.6029239559201,0.26165579924482074,-0.0009162253744518878,-616.0471622668948,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_penalty__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_penalty,Receding-horizon multistep (distance-penalized),reg,0.1,,97,1,100,97,0.33784624026725624,0.7844432099962161,6.371134020618556,33199.44876041324,91,468.3948300101448,14.79190605422449,-453.6029239559201,0.26165579924482074,-0.0009162253744518878,-616.0471622668948,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_penalty__eng_log_huber_100k
d,eng_log_huber_100k,receding_multistep_penalty,Receding-horizon multistep (distance-penalized),reg,0.01,,98,0,100,98,0.34452892492706316,0.8221713081698852,6.846938775510204,33199.361524813605,91,468.3948300101448,14.79190605422449,-453.6029239559201,0.26165579924482074,-0.0009162253744518878,-616.0471622668948,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__receding_multistep_penalty__eng_log_huber_100k
