architecture,row,base_size,total_labels,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,recall_blocked_mean,recall_blocked_std,recall_blocked_count,recall_assemblable_mean,recall_assemblable_std,recall_assemblable_count,roc_auc_mean,roc_auc_std,roc_auc_count,mcc_mean,mcc_std,mcc_count,brier_mean,brier_std,brier_count,ece_10bin_mean,ece_10bin_std,ece_10bin_count,fit_wall_s_mean,fit_wall_s_std,fit_wall_s_count,parameter_count_mean,parameter_count_std,parameter_count_count
edge_pool_graph_v1,row1_pure_hybrid,0,2000,0.9692611251188088,0.005029096273899555,8,0.9572610294117647,0.01298899861031117,8,0.9812612208258528,0.003107291920098372,8,0.9971916995590876,0.0002880325529062189,8,0.896785627108863,0.0047280470820934084,8,0.018712080154692837,0.001006295511433242,8,0.03152644434199532,0.002403562465273112,8,17.364346630238288,0.5749537695652431,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,0,3500,0.9704296173698383,0.0028408944739863966,8,0.94921875,0.006803067323360773,8,0.9916404847396768,0.0015536459600491675,8,0.9986792840453057,0.00017411392572446325,8,0.9337165032101744,0.004327440053540607,8,0.010537430641313857,0.0006107790975879378,8,0.013333444289495122,0.0010117340369622415,8,25.648666526009038,1.2891546604692639,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,1000,1000,0.9214333862472278,0.008977777345353991,8,0.9345128676470589,0.02462211117508989,8,0.9083539048473968,0.013107559034691504,8,0.9765598701189407,0.0032716620730064688,8,0.6792462158020734,0.01928897913084775,8,0.0619306714137326,0.007085703643446163,8,0.09006655983162856,0.014496301270028284,8,4.448656557004142,1.4308290769248264,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,1000,2000,0.9650273260111945,0.005570689491117974,8,0.9898897058823529,0.005644481423373082,8,0.9401649461400359,0.006389188182034869,8,0.9914357149811226,0.002516760198203951,8,0.788292986857328,0.01970441083050315,8,0.03913287060415817,0.004099069981170692,8,0.059990089342899525,0.0046111467820741225,8,14.686594010367116,0.7876704027048381,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,1000,3500,0.9774024118175098,0.0032602292163276536,8,0.9770220588235294,0.009269623211514082,8,0.9777827648114901,0.004863755134268484,8,0.9975921118419315,0.0004909409154173383,8,0.8960427120928618,0.014244817535008567,8,0.018822268525502495,0.0017799776334518503,8,0.03335716232672855,0.0035613966130797277,8,25.25975877599558,0.7734754245407369,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,2500,3500,0.9620981541741472,0.0035023830599716396,8,0.99609375,0.0026796653928516856,8,0.9281025583482945,0.008635923400804145,8,0.9918847027141198,0.0010874294312128198,8,0.7623743398016247,0.01999159898069615,8,0.04598914032495593,0.0036548212550377465,8,0.0804113270391705,0.005893372656138464,8,24.488254119627527,3.792141889092968,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,0,250,0.840726358710001,0.03972824562583227,8,0.7805606617647058,0.10252738666886313,8,0.9008920556552962,0.027144974481655898,8,0.9315411020501109,0.026026796403059844,8,0.5633510783952608,0.03330517774910253,8,0.08101603431492757,0.01010587265763808,8,0.08634538820311242,0.02629058494789206,8,1.4384825052620727,0.5156797038239082,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,0,500,0.9137807417625937,0.013309766088107343,8,0.8929227941176471,0.0345687396376186,8,0.9346386894075404,0.011737127894340386,8,0.9780069234970694,0.0028477474040429977,8,0.7124269947472193,0.01879325329551428,8,0.04933055026618499,0.004962195725972692,8,0.05805800951641736,0.014680635566837663,8,2.4025457605021074,0.8702156345706865,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,0,1000,0.9722787847185552,0.004355421180437726,8,0.9742647058823529,0.011331643387810616,8,0.9702928635547576,0.0030581345789075062,8,0.9961961606624248,0.00027214944545880316,8,0.8677542408855115,0.005373289999736726,8,0.022321590337660426,0.001419432180725044,8,0.03374746746073591,0.004505084460184448,8,6.883023073009099,0.1717333596234277,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,0,2000,0.9660155424939275,0.0028785530276754603,8,0.9519761029411764,0.0066232979491290065,8,0.9800549820466786,0.0025203183847864116,8,0.9967128549411236,0.0005216872330920813,8,0.888918166038034,0.008338447439643262,8,0.02439241755737146,0.002142547158162039,8,0.05062853940824358,0.005694986734530452,8,13.923309802128642,0.29460077272813745,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,0,3500,0.9713908131138451,0.0034157954634678935,8,0.9510569852941176,0.006803067323360797,8,0.9917246409335727,0.0011216817699108849,8,0.9987777756692893,0.0001521668763030066,8,0.9351227199322629,0.006060609413351341,8,0.010278570697737674,0.0004067143882218675,8,0.013431646811571626,0.000981597153658089,8,24.438814124987402,0.8087762721754516,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,1000,1000,0.9228887933651917,0.0162487125226235,8,0.9354319852941176,0.03961432092983962,8,0.9103456014362658,0.014723795511612894,8,0.9774664055899515,0.004212315825382777,8,0.6842809720229455,0.024889979875244498,8,0.06102233461109457,0.007583181666689755,8,0.08886532474055894,0.015958615931440073,8,4.890402734243253,1.1538132377131514,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,1000,2000,0.9706903365587707,0.0034620093432834167,8,0.9859834558823529,0.009266367856466716,8,0.9553972172351884,0.0049513511782367904,8,0.994822022025821,0.0006526369931509781,8,0.8280410418325054,0.011568699792971416,8,0.03422186242716888,0.0024202651575257867,8,0.06731918939832629,0.004519481919942772,8,14.330524666627753,0.713885500997318,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,1000,3500,0.9771773765049108,0.0026166080952334993,8,0.9781709558823529,0.00806896458137426,8,0.9761837971274685,0.0033079014188999003,8,0.9976324882511353,0.00019991512489585746,8,0.8907346903131955,0.00758447939904936,8,0.020110430771317744,0.0014954627967840193,8,0.03816968051267195,0.004027782438841054,8,24.391412312754255,0.9993492890811329,8,13697.0,0.0,8
edge_pool_graph_v1,row2_hybrid_diverse_half,2500,3500,0.9609195549292427,0.004764405817899669,8,0.9864430147058824,0.009969052574719367,8,0.9353960951526032,0.006234738714431941,8,0.9924573464231967,0.0010951539454688694,8,0.773849957524816,0.01443212650249399,8,0.04440156102425302,0.002099156845023117,8,0.08494308878353914,0.0035209243196666733,8,23.09706385399477,3.8983414549387705,8,13697.0,0.0,8
mlp64_control,baseline_random,0,250,0.7603073186186504,0.05066567279519443,5,0.7044117647058823,0.08024691903559839,5,0.8162028725314183,0.11878885832918785,5,0.8569245283952899,0.06872240179250007,5,0.4062680873320638,0.12207799298987579,5,0.14333460276563537,0.06507739355102603,5,0.21379599084945783,0.1399060764284166,5,0.07500792481005192,0.04078869854949352,5,3009.0,0.0,5
mlp64_control,baseline_random,0,500,0.8610634042665539,0.03254405190363646,5,0.8172794117647058,0.05477200897473114,5,0.9048473967684021,0.04409056431177465,5,0.9481094558559509,0.027317179744546085,5,0.6028184451790324,0.08069248325368263,5,0.07476842068338213,0.026681094810598972,5,0.0896247148197,0.06325555499198064,5,0.24541759160347282,0.19199505522829594,5,3009.0,0.0,5
mlp64_control,baseline_random,0,1000,0.9282787913190411,0.015980427925167857,5,0.9290441176470589,0.0271598875907953,5,0.9275134649910234,0.010406975718740481,5,0.9826837905269826,0.005590519968521791,5,0.718103876672676,0.03552086276439124,5,0.05113945485877534,0.008602398690199771,5,0.06212745289152398,0.01158456659693352,5,0.696789700014051,0.3142589093374167,5,3009.0,0.0,5
mlp64_control,baseline_random,0,2000,0.9631102149118176,0.011824910848118169,5,0.9753676470588235,0.027774999260306632,5,0.9508527827648114,0.006463429454180751,5,0.9932410200390749,0.001928806352682275,5,0.8082773151579303,0.013473412811915466,5,0.03276328365267404,0.002739106790255175,5,0.045646231420848914,0.008246735665372883,5,1.5799651165958495,0.32009595193263,5,3009.0,0.0,5
mlp64_control,baseline_random,0,3500,0.9730759583905375,0.004534189142638615,5,0.9889705882352942,0.006754107746644839,5,0.9571813285457809,0.009809594824176298,5,0.9961259273682543,0.0007890341212942115,5,0.8359189131721084,0.027260036219730718,5,0.027240279815222833,0.005257209110397243,5,0.04130238087281918,0.008657913073577916,5,2.236215508193709,0.45560017976824013,5,3009.0,0.0,5
mlp64_control,row1_pure_hybrid,0,250,0.830795309034745,0.03696317220315195,8,0.7504595588235294,0.0973136833276943,8,0.9111310592459605,0.033324584411309276,8,0.933352471304388,0.015395346882631443,8,0.5665851991474303,0.04209708269582182,8,0.07586820326957829,0.013345177352276265,8,0.08143516311951512,0.038781740631576245,8,0.7923572813670035,0.05570871631780876,8,3009.0,0.0,8
mlp64_control,row1_pure_hybrid,0,500,0.9031061061094097,0.021916132677974962,8,0.9048713235294118,0.05379783318625703,8,0.9013408886894075,0.024842683267545126,8,0.9650581368726239,0.010960473639137748,8,0.6477046911638559,0.03819895172733759,8,0.07483285882027116,0.012084900894988662,8,0.08129401007006874,0.021291050901054875,8,0.40508571362443035,0.28105854346097675,8,3009.0,0.0,8
mlp64_control,row1_pure_hybrid,0,1000,0.9630694569120287,0.007678359977705512,8,0.984375,0.00850937591702715,8,0.9417639138240574,0.013070765693403812,8,0.9899063102294329,0.005653251675282495,8,0.7901751729859741,0.03449340095650848,8,0.04288308772014418,0.010110952754240198,8,0.05037140238137382,0.010513153457864906,8,0.7726479637422017,0.14214739821402742,8,3009.0,0.0,8
