status,architecture,checkpoint_path,train_pos_rate,n_train,row,base_size,seed_split,total_labels,replicate,balanced_accuracy,accuracy,macro_f1,mcc,recall_blocked,recall_assemblable,precision_blocked,brier,ece_10bin,roc_auc,seed,n_val,pos_weight,parameter_count,fit_wall_s
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0250_rep3,0.92,213,baseline_random,0,,250,3.0,0.7931127230964199,0.765,0.6429889005704946,0.3959029232958898,0.8290441176470589,0.757181328545781,0.294194390084801,0.15865677712672668,0.2242942337013315,0.8633501425704933,992197,37,0.08673469722270966,13697,0.4147795420140028
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0250_rep4,0.9,212,baseline_random,0,,250,4.0,0.851764639877495,0.8868,0.7709404166650479,0.5702181472195281,0.8069852941176471,0.8965439856373429,0.48777777777777775,0.08124950782270507,0.0894539527202269,0.9268711552170239,748544,38,0.10994764417409897,13697,1.1605274580069818
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0250_rep5,0.916,213,baseline_random,0,,250,5.0,0.8250640247122188,0.8464,0.7193701262483645,0.4899845069327447,0.7977941176470589,0.8523339317773788,0.3974358974358974,0.10712943131420014,0.14261671772366144,0.9005071648273314,977353,37,0.0923076942563057,13697,0.5798208329943009
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0500_rep1,0.878,425,baseline_random,0,,500,1.0,0.8601703585383884,0.8874,0.7743573613486103,0.5796097027225032,0.8253676470588235,0.8949730700179533,0.48964013086150493,0.08013020738257476,0.0865231385156663,0.938651784771359,771778,75,0.13941018283367157,13697,1.854756125016138
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0500_rep2,0.9,424,baseline_random,0,,500,2.0,0.9106739756046045,0.894,0.7970291812295038,0.639394981771349,0.9319852941176471,0.8893626570915619,0.507,0.07589917427532293,0.10793867839063875,0.9680961393758579,1023546,76,0.10994764417409897,13697,2.6345274170162156
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0500_rep3,0.884,425,baseline_random,0,,500,3.0,0.9139593674094413,0.9128,0.8223218523908632,0.6745695220952147,0.9154411764705882,0.9124775583482945,0.5608108108108109,0.06173076897899,0.08483279064248414,0.9734421203400572,309613,75,0.13031914830207825,13697,3.763034791976679
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0500_rep4,0.91,425,baseline_random,0,,500,4.0,0.8920193526243532,0.8852,0.7813347327910435,0.6080823655486715,0.9007352941176471,0.8833034111310593,0.48514851485148514,0.07899933142132598,0.11522736659132446,0.9599387639930299,148278,75,0.09819121658802032,13697,2.842096082982607
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0500_rep5,0.906,425,baseline_random,0,,500,5.0,0.880486653817721,0.9006,0.7968720917866763,0.6213991846937122,0.8547794117647058,0.9061938958707361,0.5266138165345413,0.06850792535251062,0.08374982646568721,0.9594664167282713,454999,75,0.10389610379934311,13697,3.064040915982332
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T1000_rep1,0.879,850,baseline_random,0,,1000,1.0,0.9359752877811807,0.9204,0.8383711187545058,0.708574758931118,0.9558823529411765,0.9160682226211849,0.5816554809843401,0.05617161954507117,0.08447664386669948,0.9819080684338367,80509,150,0.13788487017154694,13697,6.415885916969273
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T1000_rep2,0.906,850,baseline_random,0,,1000,2.0,0.9232644022600063,0.8848,0.7893203562475731,0.6384283345916383,0.9724264705882353,0.8741023339317774,0.4853211009174312,0.0820944860858968,0.12696396505572202,0.9759845449625092,859888,150,0.10389610379934311,13697,3.1933964159688912
