row,base_size,total_labels,mean_bac,std_bac,n_splits
row2_diverse_uncertainty,0,1500,0.9898767111759426,0.002545865432357655,8
row2_diverse_uncertainty,0,1750,0.9906848581555603,0.0029799467017600613,8
row2_diverse_uncertainty,0,2000,0.9924201671243004,0.003152485354724165,8
row2_diverse_uncertainty,0,2250,0.9897556335146267,0.003203056636302301,8
row2_diverse_uncertainty,0,2500,0.9914956865825324,0.003229182425765462,8
row2_diverse_uncertainty,0,2750,0.9909492901177527,0.003775907116997476,8
row2_diverse_uncertainty,0,3000,0.9881645039074876,0.003910047447206447,8
row2_diverse_uncertainty,0,3250,0.9883468423275953,0.003857807699410058,8
row2_diverse_uncertainty,0,3500,0.9863429760930404,0.0039030903283389325,8
row2_diverse_uncertainty,250,250,0.7996645303094307,0.02709488907400954,8
row2_diverse_uncertainty,250,500,0.8940450829681065,0.02996466462336548,8
row2_diverse_uncertainty,250,750,0.96086551345179,0.011233430153944342,8
row2_diverse_uncertainty,250,1000,0.9776899454799873,0.007432017768585824,8
row2_diverse_uncertainty,250,1250,0.9867519999471961,0.00428610471225834,8
row2_diverse_uncertainty,250,1500,0.989815862947513,0.002376314316006303,8
row2_diverse_uncertainty,250,1750,0.9909626973545254,0.0020168003858594954,8
row2_diverse_uncertainty,250,2000,0.9923861333694161,0.0019392351226225186,8
row2_diverse_uncertainty,250,2250,0.9888899385494773,0.005085699962030917,8
row2_diverse_uncertainty,250,2500,0.9897028296282606,0.0030883975056996407,8
row2_diverse_uncertainty,250,2750,0.986757156576724,0.00379646753507484,8
row2_diverse_uncertainty,250,3000,0.9907789150781497,0.0035613549261668364,8
row2_diverse_uncertainty,250,3250,0.9867885088842538,0.002906872809543842,8
row2_diverse_uncertainty,250,3500,0.983938955407118,0.005329060713821754,8
row2_diverse_uncertainty,500,500,0.8695040642491287,0.011731661787710384,8
row2_diverse_uncertainty,500,750,0.9364827001267293,0.0144014981527484,8
row2_diverse_uncertainty,500,1000,0.9711651590057029,0.007570789779396195,8
row2_diverse_uncertainty,500,1250,0.9817199545886577,0.00494319802550436,8
row2_diverse_uncertainty,500,1500,0.9873165477479142,0.004275983364923968,8
row2_diverse_uncertainty,500,1750,0.9905460416886682,0.0026791183662628476,8
row2_diverse_uncertainty,500,2000,0.9930742340136234,0.0016324410167278438,8
row2_diverse_uncertainty,500,2250,0.9922378287041926,0.0012580850084450126,8
row2_diverse_uncertainty,500,2500,0.9914482455908755,0.0027223264804133234,8
row2_diverse_uncertainty,500,2750,0.9902125108908015,0.0022434973851771637,8
row2_diverse_uncertainty,500,3000,0.9900248095759848,0.0037177872324815056,8
row2_diverse_uncertainty,500,3250,0.9893127821707678,0.004645533713252265,8
row2_diverse_uncertainty,500,3500,0.9872620937400993,0.0044995315512206925,8
