accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.949,0.8898890458337734,0,0.03691100702361696,0.8738637722804807,0.7488271151666436,0.7420435510887772,0.9654398563734291,0.8143382352941176,0.9798685183229486,2,row1_uncertainty_disagreement,5,ok,500,0.8912,0.5409439590293914
0.9562,0.9431500158411659,0,0.02993324148694443,0.8982764689504946,0.8036212821963611,0.7379209370424598,0.9598294434470377,0.9264705882352942,0.9899264210845918,3,row1_uncertainty_disagreement,5,ok,750,0.8912,0.5695961669553071
0.9786,0.9775038942866194,0,0.015063549486011473,0.9481761843122238,0.8991867880162165,0.8496,0.9789048473967684,0.9761029411764706,0.9975765903870525,4,row1_uncertainty_disagreement,5,ok,1000,0.8912,1.0209409999661148
0.9886,0.9871488541556659,0,0.008230513016963273,0.971543706021921,0.9438879351997607,0.9162393162393162,0.9890035906642729,0.9852941176470589,0.999353152392016,5,row1_uncertainty_disagreement,5,ok,1250,0.8912,1.6993094579083845
0.9888,0.9832265154715387,0,0.008383674431580283,0.9718028341374225,0.9440416219057574,0.9250871080139372,0.9903500897666068,0.9761029411764706,0.9991089344175732,6,row1_uncertainty_disagreement,5,ok,1500,0.8912,2.2390726669691503
0.9928,0.9886983181962192,0,0.005924085182754365,0.9817012993297389,0.963565128183106,0.9519572953736655,0.9939407540394973,0.9834558823529411,0.9996283101436265,7,row1_uncertainty_disagreement,5,ok,1750,0.8912,2.9086142500163987
0.994,0.9909853865244482,0,0.00576964821811024,0.9847268923991241,0.9695832498886914,0.9589285714285715,0.99483842010772,0.9871323529411765,0.999717004171507,8,row1_uncertainty_disagreement,5,ok,2000,0.8912,2.628700416069478
0.992,0.9955116696588868,0,0.005790658914395671,0.9800152204081372,0.9608043653135625,0.9315068493150684,0.9910233393177738,1.0,0.9998250871264125,9,row1_uncertainty_disagreement,5,ok,2250,0.8912,4.458994042011909
0.9956,0.9934968713697327,0,0.004057167299020363,0.9887640449438202,0.9776018604197433,0.9694244604316546,0.9961849192100538,0.9908088235294118,0.999832925203295,10,row1_uncertainty_disagreement,5,ok,2500,0.8912,5.127811374957673
0.9936,0.9923747887844545,0,0.004391813066637632,0.9837858105574641,0.9678137414644917,0.9522968197879859,0.9939407540394973,0.9908088235294118,0.9998114736244588,11,row1_uncertainty_disagreement,5,ok,2750,0.8912,4.434665375039913
0.9938,0.9932939064315134,0,0.003908588433078929,0.9843048766570885,0.9688742020873365,0.9523809523809523,0.9939407540394973,0.9926470588235294,0.999843650992713,12,row1_uncertainty_disagreement,5,ok,3000,0.8912,3.1991323330439627
0.996,0.9961420160523815,0,0.002742526928692117,0.9898179282660828,0.9797664075821567,0.9678571428571429,0.9959605026929982,0.9963235294117647,0.9999327575509558,13,row1_uncertainty_disagreement,5,ok,3250,0.8912,5.89094708301127
0.995,0.9939671559826804,0,0.0034105248477649054,0.9872824989380886,0.9747115379650769,0.9625668449197861,0.9952872531418312,0.9926470588235294,0.999853964251769,14,row1_uncertainty_disagreement,5,ok,3500,0.8912,5.589907041983679
0.8598,0.7954641461611575,0,0.10010889679243179,0.7215706339554661,0.47231193101965624,0.41586280814576637,0.8776929982046678,0.7132352941176471,0.8889765286725102,1,row1_uncertainty_disagreement,6,ok,250,0.8912,0.9561929160263389
0.9376,0.9044728191994931,0,0.0472085844390225,0.8573714285714286,0.7233658603061417,0.6643059490084986,0.9468132854578097,0.8621323529411765,0.9768207440067588,2,row1_uncertainty_disagreement,6,ok,500,0.8912,0.36719820799771696
