row,base_size,total_labels,n_seeds,bac_mean,bac_std,bac_min,bac_max,acc_mean,f1_mean,mcc_mean,auc_mean
row1_uncertainty_disagreement,500,1250,8,0.9810545431143733,0.005680100633103405,0.9710750211215546,0.9855993901151126,0.98385,0.9602073984880471,0.9219468792052357,0.9985206661210265
row1_uncertainty_disagreement,500,1500,8,0.9840000099007287,0.006642996509556784,0.9697334723835674,0.9900184153553702,0.9891,0.9725809587311194,0.9457300984264215,0.999205105558269
row1_uncertainty_disagreement,500,1750,8,0.9910109634069066,0.0026029288228784126,0.9872181592565212,0.995132141725631,0.99045,0.9761804678161541,0.9531853140324182,0.9995656055285669
row1_uncertainty_disagreement,500,2000,8,0.9906929024976239,0.0023469195450144687,0.9869722911606293,0.9945496488541556,0.9924,0.9808110534720416,0.961969366154198,0.999660126547814
row1_uncertainty_disagreement,500,2250,8,0.99281702133277,0.002619280767277181,0.9878914088076882,0.9955809747597424,0.99295,0.9822217351622757,0.9648365740999851,0.9997468094901785
row1_uncertainty_disagreement,500,2500,8,0.9942464390379132,0.0015103477752125155,0.9912312546203401,0.9960512593726898,0.9937,0.9840917571183931,0.968524425086497,0.9998056981993875
row1_uncertainty_disagreement,500,2750,8,0.9944013441889323,0.0012237438866034328,0.992577753722674,0.995939051114162,0.994875,0.9869885324757688,0.9741695187342782,0.999866340162636
row1_uncertainty_disagreement,500,3000,8,0.9938636108617595,0.002418779863839737,0.9918830525926708,0.9983168761220826,0.995175,0.9877217984355673,0.9755811592493006,0.9998643290771201
row1_uncertainty_disagreement,500,3250,8,0.9946404055338474,0.002716157047075266,0.9904936503326645,0.9977558348294435,0.9962,0.9902872390528514,0.9806516558887869,0.9998924842743426
row1_uncertainty_disagreement,500,3500,8,0.9947045540051747,0.0037502898195374496,0.9863683467103179,0.997980251346499,0.995775,0.9892257636733175,0.9785685186066457,0.9998800052308849
row1_uncertainty_disagreement,750,750,8,0.8967331308084275,0.01310782837353502,0.8847868703136551,0.9221010666385046,0.923625,0.8342310506525182,0.6846135532839732,0.9709873068532844
row1_uncertainty_disagreement,750,1000,8,0.9535629009795121,0.006565597535379574,0.9421401415144155,0.9609449255465202,0.9583999999999999,0.9044969989671283,0.8175680132283337,0.9920905295817273
row1_uncertainty_disagreement,750,1250,8,0.9735223574955116,0.007179817333854801,0.9607947644946668,0.9842743425916147,0.9742,0.9387523282324677,0.8820660508114339,0.9968016005352994
row1_uncertainty_disagreement,750,1500,8,0.977917868505122,0.007601041660250838,0.9636098716865562,0.9857759531101489,0.9816750000000001,0.9550140773450764,0.9119421764982096,0.9981492340961295
row1_uncertainty_disagreement,750,1750,8,0.9848570417282713,0.0048626867266053754,0.9764131640088711,0.991610782553596,0.98865,0.9715428693734528,0.9437248278523861,0.9991997426635599
row1_uncertainty_disagreement,750,2000,8,0.9896230050031682,0.0038614294485898224,0.9830928556341747,0.9941437189777167,0.988875,0.9724431214281547,0.9460229968975306,0.9993485629917362
row1_uncertainty_disagreement,750,2250,8,0.9912861211585173,0.0024838077692643213,0.9876884438694687,0.9952872531418313,0.9913000000000001,0.9781831932803223,0.9569675721946117,0.9995808691519695
row1_uncertainty_disagreement,750,2500,8,0.9916588423407963,0.0030153733412555486,0.9861653817720983,0.9949291767874116,0.991425,0.9785228877338852,0.957679710633935,0.9996412017174464
row1_uncertainty_disagreement,750,2750,8,0.9927576169606083,0.0027106087960720683,0.9876884438694687,0.9960512593726898,0.9921249999999999,0.9802495279433908,0.9610669645789772,0.9997028234403053
row1_uncertainty_disagreement,750,3000,8,0.9947814909177316,0.0014658370854082972,0.9929787332347662,0.9973070017953322,0.9935750000000001,0.9838113879112622,0.9680284594402071,0.9998321001425705
row1_uncertainty_disagreement,750,3250,8,0.9951381234158834,0.0015903910630749361,0.9925992053015102,0.9974192100538599,0.9947499999999999,0.9867031791002953,0.9736541539754342,0.9998623179916042
