base_size,seed_split,total_labels,delta_balanced_accuracy,delta_accuracy,delta_macro_f1,delta_mcc,delta_recall_blocked,delta_recall_assemblable,delta_roc_auc,delta_brier
1000,7,1500,0.011103667229908076,0.012599999999999945,0.02826013459117882,0.0529543624288038,0.009191176470588203,0.013016157989228061,0.002149695717604816,-0.008562032330121394
1000,7,1750,0.00717637818143424,0.005600000000000049,0.013326355433515236,0.025867589947015768,0.009191176470588203,0.005161579892280166,0.000962845865455586,-0.003937688532885557
1000,7,2000,0.007737419474073359,0.00660000000000005,0.015614932871683362,0.030147849925394765,0.009191176470588203,0.006283662477558405,0.0010350386788466892,-0.004509068675117163
1000,7,2250,0.00970931460555513,0.005800000000000027,0.014332784177139679,0.028289399971172413,0.014705882352941235,0.004712746858168804,0.0006612861706621898,-0.0034240068635708045
1000,7,2500,0.005765524342591588,0.007399999999999962,0.017734790334035244,0.03410307180870453,0.003676470588235281,0.007854578096947895,0.0007805074453479666,-0.004523992246957628
1000,7,2750,0.0060064420741365865,-0.0008000000000000229,-0.0016796223923548625,-0.002716694269216169,0.014705882352941124,-0.0026929982046678402,0.00013242224627740828,-0.0016557833709716571
1000,7,3000,0.009730766184391282,0.0044000000000000705,0.011122309777743977,0.02217273366395678,0.016544117647058876,0.002917414721723577,0.0003543635811595891,-0.003014185288360719
1000,7,3250,0.00011220825852786831,0.000200000000000089,0.0004898021826278409,0.0009488227263081406,0.0,0.0002244165170556256,0.000104782712007645,-0.0015094256153290577
1000,7,3500,0.0024685816876122146,0.0043999999999999595,0.01065230767174108,0.020494970770111975,0.0,0.004937163375224429,0.00011303331925216487,-0.0027510035536504837
1000,8,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,8,1250,0.009153223677262567,0.01200000000000001,0.024524635787214533,0.04462180660118187,0.005514705882352922,0.012791741472172324,0.004129428925968903,-0.008729339818824407
1000,8,1500,0.008255557609039954,0.010399999999999965,0.021973401984290652,0.03971129873913393,0.005514705882352922,0.010996409335727098,0.0018588618122293843,-0.00806756298910448
1000,8,1750,0.011974931354947649,0.008400000000000074,0.019639966020352784,0.03782778455015967,0.016544117647058876,0.007405745062836533,0.001603505518006143,-0.005014766111329307
1000,8,2000,-0.008037741577780144,0.013000000000000012,0.029276621755086607,0.05435392386456983,-0.03492647058823528,0.018850987432674993,0.0005890933572710866,-0.00637075663980439
1000,8,2250,-0.0031797840321048376,0.0043999999999999595,0.010014331049128078,0.018352364418981137,-0.012867647058823595,0.0065080789946140305,0.000463271596789383,-0.0038734655952337525
1000,8,2500,0.0008069093885310075,0.0,3.8871409362650766e-05,0.0001471093834156667,0.0018382352941176405,-0.0002244165170556256,0.0001134458496145907,-0.00025192295087548763
1000,8,2750,-0.003719373745907806,0.0020000000000000018,0.004697025980727965,0.008865518966884256,-0.011029411764705954,0.0035906642728904536,0.00036055153659320105,-0.0016774825609626827
1000,8,3000,-0.0004917361917836649,0.0020000000000000018,0.004802769759400416,0.009145591586183222,-0.003676470588235281,0.0026929982046679513,-2.64019431830409e-05,-0.001217691068609853
1000,8,3250,-0.0006039444503114222,0.0018000000000000238,0.004431459327546294,0.00857616876321643,-0.003676470588235281,0.0024685816876122146,1.3613501953724239e-05,-0.0014366663870929047
1000,8,3500,0.0007854578096947451,0.0013999999999999568,0.0034284796266901285,0.0066478209569516,0.0,0.0015709156193896012,9.735716548742168e-05,-0.0011577889993230903
1500,1,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,1,1750,-0.007230832189249137,0.013000000000000012,0.026155715486061548,0.04463031241753146,-0.03308823529411775,0.018626570915619478,0.0004376947143307497,-0.008103480073932776
1500,1,2000,-0.00970931460555502,-0.005800000000000027,-0.013113442662615937,-0.02523565164557806,-0.014705882352941235,-0.004712746858168804,-0.0021744475393388196,0.005413668645478334
1500,1,2250,0.0005230884993134843,0.01100000000000001,0.02334435687170322,0.04139840286965257,-0.012867647058823595,0.013913824057450563,0.0009900728693632566,-0.006700948994653731
1500,1,2500,0.0007640062308585938,0.0028000000000000247,0.006296247201165728,0.011558492994109493,-0.0018382352941176405,0.003366247755834828,0.00013984779279752058,-0.001215815979194245
1500,1,2750,-0.003072526137923859,-0.0026000000000000467,-0.0058130013565200755,-0.010936166567661165,-0.003676470588235281,-0.0024685816876122146,-0.0006868630531208231,0.0033453209356865098
1500,1,3000,0.000966971169077957,0.0045999999999999375,0.010935548466977751,0.020921505355066983,-0.003676470588235392,0.005610412926391417,0.00035725129369523767,-0.0011800130802964368
1500,1,3250,0.0035428107508712614,0.0020000000000000018,0.004923525781995619,0.009704091342053411,0.005514705882352922,0.0015709156193896012,0.00031641078783395393,-0.00019118617324721983
1500,1,3500,0.0004702846129476246,-0.0005999999999999339,-0.0014210853679175184,-0.0026585084540940995,0.0018382352941176405,-0.0008976660682226134,0.0002656695532791131,-0.0009040966416133007
1500,2,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,2,1750,-0.008918906431513385,0.0028000000000000247,0.0044716151432311335,0.005329490273337734,-0.023897058823529438,0.006059245960502668,-0.0010280256626887807,-0.0013403089415380993
1500,2,2000,-0.006920609356848684,0.007800000000000029,0.017055941516854523,0.030806940262589122,-0.02573529411764708,0.011894075403949711,0.00029660933044661775,-0.004282534201976213
1500,2,2250,-0.0076846155877072775,0.0050000000000000044,0.010789549018908495,0.018948823875022724,-0.023897058823529438,0.008527827648114883,-6.559232759528744e-05,-0.0034657414022075516
1500,2,2500,0.003702872531418322,0.006599999999999939,0.015346426592351525,0.028921890901757563,0.0,0.007405745062836644,0.00045667111099390034,-0.003975545268745188
1500,2,2750,0.001523062097370409,-0.0015999999999999348,-0.003718216083807624,-0.006933091226231092,0.005514705882352922,-0.0024685816876122146,-0.0005074123455486301,0.002620743980946933
1500,2,3000,-0.0032705407117964436,0.0027999999999999137,0.006318405255403503,0.011377783155367749,-0.011029411764705843,0.004488330341113067,-0.00021410325799975372,-0.002373391272377262
1500,2,3250,0.006166503854683758,0.0038000000000000256,0.009348942265177351,0.018407439197759223,0.009191176470588314,0.0031418312387790914,0.00030692258950248963,-0.0028794333236047158
1500,2,3500,-0.0012986455803146724,0.0020000000000000018,0.004740002880021521,0.00890074522380413,-0.005514705882352922,0.002917414721723577,6.8480040130936e-05,-0.0017029998676165656
1500,3,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
