accuracy,balanced_accuracy,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,replicate,roc_auc,row,status,total_labels,train_pos_rate
0.9588,0.9567123640299926,0.02810076243703888,0.905439210081392,0.8197124998125724,0.7414285714285714,0.9593806104129264,0.9540441176470589,1,0.9934469551959024,baseline_random,ok,1750,0.8912
0.9598,0.9492043114373219,0.028286439436117878,0.9061102075581002,0.8186551726072042,0.7540740740740741,0.9627468581687613,0.9356617647058824,2,0.9915909810962087,baseline_random,ok,1750,0.8912
0.9414,0.9509847924807266,0.04120250642705281,0.8738343564807243,0.7672821206523261,0.657465495608532,0.9387342908438061,0.9632352941176471,3,0.9895671071390855,baseline_random,ok,1750,0.8912
0.9482,0.9588344202133277,0.03654100521463673,0.8867562630126455,0.7904095073700301,0.684346701164295,0.9452423698384201,0.9724264705882353,4,0.9922077139877495,baseline_random,ok,1750,0.8912
0.9544,0.9606990574506284,0.030707930918306193,0.8980000493894498,0.8088806692769376,0.7140921409214093,0.9526481149012568,0.96875,5,0.9945814136920478,baseline_random,ok,1750,0.8912
0.9564,0.9602073212588447,0.030367005455143505,0.9015550330847342,0.8144556279181842,0.7251381215469613,0.9553411131059246,0.9650735294117647,1,0.9939378663269616,baseline_random,ok,2000,0.8912
0.9462,0.9641676127362975,0.03875148258995832,0.8843145196631341,0.7889094176011692,0.672090112640801,0.9412028725314183,0.9871323529411765,2,0.9925888920424544,baseline_random,ok,2000,0.8912
0.9426,0.9435889481465836,0.04200774689712127,0.8743517843578916,0.764956470142165,0.6666666666666666,0.9423249551166966,0.9448529411764706,3,0.9867119845020593,baseline_random,ok,2000,0.8912
0.9388,0.9640504541134227,0.0421569002124834,0.8721580227107513,0.7708126102819425,0.640661938534279,0.9317773788150808,0.9963235294117647,4,0.9934646940014785,baseline_random,ok,2000,0.8912
0.9552,0.9684100749815187,0.030733101633368363,0.9007125998547567,0.8160693933366961,0.7127659574468085,0.9515260323159784,0.9852941176470589,5,0.9952125851462669,baseline_random,ok,2000,0.8912
0.952,0.9537041926285774,0.03325052207411648,0.8924885321100917,0.7974938157651661,0.7065217391304348,0.9515260323159784,0.9558823529411765,1,0.9920196001425705,baseline_random,ok,2250,0.8912
0.9468,0.9620835093462878,0.03641787081226415,0.8849525156646232,0.788983485444172,0.6759493670886076,0.9425493716337523,0.9816176470588235,2,0.9933392847713592,baseline_random,ok,2250,0.8912
0.9704,0.9704826275213856,0.02129674960612547,0.9301252910187203,0.8656230170820679,0.8,0.9703770197486535,0.9705882352941176,3,0.9956927704879079,baseline_random,ok,2250,0.8912
0.9598,0.9709908649276586,0.027049316305894966,0.90953664670442,0.8311625572380755,0.7352537722908093,0.9566876122082585,0.9852941176470589,4,0.9958033286249868,baseline_random,ok,2250,0.8912
0.9554,0.9661015550744534,0.030078328948321353,0.900698928145121,0.8151821659964147,0.7154362416107383,0.952423698384201,0.9797794117647058,5,0.9950805754303516,baseline_random,ok,2250,0.8912
0.9318,0.9577024368993559,0.049019754109597885,0.859975482158618,0.7501865238690947,0.616,0.9245960502692998,0.9908088235294118,1,0.9910732554916042,baseline_random,ok,2500,0.8912
0.965,0.9690668233181963,0.024324388800716457,0.9191669110905307,0.8464659301154075,0.7670043415340086,0.9638689407540395,0.9742647058823529,2,0.9956993709737036,baseline_random,ok,2500,0.8912
0.9586,0.9678968872108987,0.02883031272932052,0.9068362480985819,0.8257025820610733,0.7311385459533608,0.9560143626570916,0.9797794117647058,3,0.9950710872320204,baseline_random,ok,2500,0.8912
0.949,0.9633178001900939,0.03425221903738724,0.8889340992437849,0.7956180317703435,0.6854942233632862,0.9450179533213644,0.9816176470588235,4,0.9942464390379132,baseline_random,ok,2500,0.8912
0.9502,0.9639910497412609,0.03267603672022212,0.8911286080700722,0.7992925571703665,0.6908150064683053,0.9463644524236984,0.9816176470588235,5,0.994493957255254,baseline_random,ok,2500,0.8912
0.952,0.9690354710106663,0.032099126960258434,0.8951312589597231,0.8075557198672573,0.6963824289405685,0.947262118491921,0.9908088235294118,1,0.9960038183810328,baseline_random,ok,2750,0.8912
0.9418,0.9665404873798711,0.03862242393233311,0.8774620340746502,0.7797531257883524,0.6518607442977191,0.9349192100538599,0.9981617647058824,2,0.9948784355528566,baseline_random,ok,2750,0.8912
0.9558,0.9735881560882881,0.02999228982512784,0.9026172173640992,0.8210674444139711,0.7122207621550591,0.9508527827648114,0.9963235294117647,3,0.996526081819622,baseline_random,ok,2750,0.8912
0.948,0.9587222119547998,0.03507967972635443,0.8863921972063666,0.7897990002675825,0.6834625322997416,0.9450179533213644,0.9724264705882353,4,0.9928962271623193,baseline_random,ok,2750,0.8912
0.9456,0.9694793536804309,0.03819539776401284,0.8842592592592593,0.7911842210091831,0.6666666666666666,0.9389587073608617,1.0,5,0.9956354287675573,baseline_random,ok,2750,0.8912
